word,sent,word_es
abandon,-2,abandonar
abandoned,-2,abandoned
abandons,-2,abandonarse
abducted,-2,abducted
abduction,-2,secuestro
abductions,-2,secuestros
abhor,-3,aborrecer
abhorred,-3,abhorred
abhorrent,-3,aborrecible
abhors,-3,aborrecer
abilities,2,habilidades
ability,2,capacidad
aboard,1,a bordo
absentee,-1,ausente
absentees,-1,ausentes
absolve,2,absolver
absolved,2,absolved
absolves,2,desaprobar
absolving,2,absorción
absorbed,1,absorbed
abuse,-3,abuso
abused,-3,abused
abuses,-3,abusos
abusive,-3,abusive
accept,1,aceptar
accepted,1,accepted
accepting,1,aceptación
accepts,1,aceptación
accident,-2,accidente
accidental,-2,accidental
accidentally,-2,accidentalmente
accidents,-2,accidentes
accomplish,2,lograr
accomplished,2,accomplished
accomplishes,2,logra
accusation,-2,acusación
accusations,-2,acusaciones
accuse,-2,acusar
accused,-2,accused
accuses,-2,acusaciones
accusing,-2,accusing
ache,-2,dolor
achievable,1,realizable
aching,-2,dolor
acquit,2,absolver
acquits,2,absorción
acquitted,2,acquitted
acquitting,2,acquitting
acrimonious,-3,mordaz
active,1,active
adequate,1,adequate
admire,3,admirar
admired,3,admired
admires,3,admirando
admiring,3,admirativo
admit,-1,admitir
admits,-1,admitir
admitted,-1,admitted
admonish,-2,amonestar
admonished,-2,admonished
adopt,1,adoptar
adopts,1,adopta
adorable,3,adorable
adore,3,adorar
adored,3,adored
adores,3,itreen
advanced,1,advanced
advantage,2,ventaja
advantages,2,ventajas
adventure,2,aventura
adventures,2,aventuras
adventurous,2,adventurous
affected,-1,affected
affection,3,afecto
affectionate,3,affectionate
afflicted,-1,afflicted
affronted,-1,affronted
afraid,-2,afraid
aggravate,-2,agravar
aggravated,-2,aggravated
aggravates,-2,agravantes
aggravating,-2,agravante
aggression,-2,agresión
aggressions,-2,agresiones
aggressive,-2,aggressive
aghast,-2,espantado
agog,2,agog
agonise,-3,agonizar
agonised,-3,agonised
agonises,-3,agonización
agonising,-3,agonizante
agonize,-3,agonizar
agonized,-3,agonized
agonizes,-3,agonizar
agonizing,-3,agonizante
agree,1,aceptar
agreeable,2,agradable
agreed,1,agreed
agreement,1,acuerdo
agrees,1,de acuerdo
alarm,-2,alarma
alarmed,-2,alarmed
alarmist,-2,alarmista
alarmists,-2,alarmistas
alas,-1,Pobre de mí
alert,-1,alerta
alienation,-2,alienación
alive,1,alive
allergic,-2,allergic
allow,1,permitir
alone,-2,alone
amaze,2,asombro
amazed,2,amazed
amazes,2,amazes
amazing,4,amazing
ambitious,2,ambitious
ambivalent,-1,ambivalente
amuse,3,entretener
amused,3,amused
amusement,3,diversión
amusements,3,diversiones
anger,-3,enojo
angers,-3,angustia
angry,-3,angry
anguish,-3,angustia
anguished,-3,anguished
animosity,-2,animosidad
annoy,-2,enojarse
annoyance,-2,molestia
annoyed,-2,enojado
annoying,-2,irritante
annoys,-2,molesto
antagonistic,-2,antagonista
anti,-1,anti
anticipation,1,anticipación
anxiety,-2,ansiedad
anxious,-2,anxious
apathetic,-3,apathetic
apathy,-3,apatía
apeshit,-3,aphit
apocalyptic,-2,apocalyptic
apologise,-1,disculparse
apologised,-1,disculpado
apologises,-1,disculparse
apologising,-1,Disculpándose
apologize,-1,disculparse
apologized,-1,disculpado
apologizes,-1,disculparse
apologizing,-1,disculpado
apology,-1,disculpa
appalled,-2,appalled
appalling,-2,appalling
appease,2,apaciguar
appeased,2,apaciguado
appeases,2,arrendamiento
appeasing,2,apacible
applaud,2,aplaudir
applauded,2,applauded
applauding,2,applauding
applauds,2,applauds
applause,2,aplausos
appreciate,2,agradecer
appreciated,2,appreciated
appreciates,2,aprecia
appreciating,2,aprecio
appreciation,2,apreciación
apprehensive,-2,apprehensive
approval,2,aprobación
approved,2,approved
approves,2,aprobación
ardent,1,ardiente
arrest,-2,arrestar
arrested,-3,arrested
arrests,-2,arrestos
arrogant,-2,arrogante
ashame,-2,es una pena
ashamed,-2,ashamed
ass,-4,culo
assassination,-3,asesinato
assassinations,-3,asesinato
asset,2,activo
assets,2,activos
assfucking,-4,assfucking
asshole,-4,asshole
astonished,2,astonished
astound,3,asombrar
astounded,3,astounded
astounding,3,astounding
astoundingly,3,pasmosamente
astounds,3,astounds
attack,-1,ataque
attacked,-1,attacked
attacking,-1,attacking
attacks,-1,ataques
attract,1,atraer
attracted,1,attracted
attracting,2,atractivo
attraction,2,atracción
attractions,2,atracciones
attracts,1,atrae
audacious,3,audaz
authority,1,autoridad
avert,-1,evitar
averted,-1,averted
averts,-1,evasión
avid,2,avid
avoid,-1,evitar
avoided,-1,avoided
avoids,-1,evita
await,-1,esperar
awaited,-1,awaited
awaits,-1,espera
award,3,otorgar
awarded,3,awarded
awards,3,premio
awesome,4,impresionante
awful,-3,horrible
awkward,-2,awkward
axe,-1,hacha
axed,-1,axed
backed,1,backed
backing,2,apoyo
backs,1,espalda
bad,-3,bad
badass,-3,impresionante
badly,-3,gravemente
bailout,-2,rescate
bamboozle,-2,embaucar
bamboozled,-2,bamboozled
bamboozles,-2,bamboozles
ban,-2,prohibición
banish,-1,desterrar
bankrupt,-3,bankrupt
bankster,-3,bankster
banned,-2,banned
bargain,2,negociar
barrier,-2,barrera
bastard,-5,bastard
bastards,-5,bastards
battle,-1,batalla
battles,-1,batallas
beaten,-2,beaten
beatific,3,beatific
beating,-1,golpeando
beauties,3,bellezas
beautiful,3,beautiful
beautifully,3,hermosamente
beautify,3,embellecer
belittle,-2,empequeñecer
belittled,-2,belittled
beloved,3,beloved
benefit,2,beneficio
benefits,2,beneficios
benefitted,2,benefitted
benefitting,2,beneficio
bereave,-2,privar
bereaved,-2,bereaved
bereaves,-2,duelo
bereaving,-2,duelo
best,3,mejor
betray,-3,traicionar
betrayal,-3,traición
betrayed,-3,betrayed
betraying,-3,traicionamiento
betrays,-3,traidados
better,2,mejor
bias,-1,inclinación
biased,-2,biased
big,1,big
bitch,-5,perra
bitches,-5,perras
bitter,-2,bitter
bitterly,-2,amargamente
bizarre,-2,extraño
blah,-2,paja
blame,-2,blame
blamed,-2,blamed
blames,-2,culpable
blaming,-2,culpable
bless,2,bendecir
blesses,2,blesses
blessing,3,blessing
blind,-1,blind
bliss,3,dicha
blissful,3,feliz
blithe,2,alegre
block,-1,bloquear
blockbuster,3,éxito de taquilla
blocked,-1,blocked
blocking,-1,bloqueo
blocks,-1,bloques
bloody,-3,bloody
blurry,-2,blurry
boastful,-2,boastful
bold,2,bold
boldly,2,valientemente
bomb,-1,bomba
boost,1,aumentar
boosted,1,boosted
boosting,1,impulso
boosts,1,impulso
bore,-2,aburrir
bored,-2,bored
boring,-3,boring
bother,-2,molestar
bothered,-2,bothered
bothers,-2,bothers
bothersome,-2,bothersome
boycott,-2,boicotear
boycotted,-2,boycotted
boycotting,-2,boycotting
boycotts,-2,boicots
brainwashing,-3,lavado del cerebro
brave,2,brave
breakthrough,3,breakthrough
breathtaking,5,breathtaking
bribe,-3,soborno
bright,1,bright
brightest,2,más brillante
brightness,1,brightness
brilliant,4,brillante
brisk,2,enérgico
broke,-1,en bancarrota
broken,-1,broken
brooding,-2,brooding
bullied,-2,bullied
bullshit,-4,mierda
bully,-2,bully
bullying,-2,acoso
bummer,-2,bummer
buoyant,2,boyante
burden,-2,carga
burdened,-2,burdened
burdening,-2,carga
burdens,-2,cargas
calm,2,calma
calmed,2,calmed
calming,2,calming
calms,2,calms
can't stand,-3,No puedo soportar
cancel,-1,cancel
cancelled,-1,cancelled
cancelling,-1,cancelling
cancels,-1,canciones
cancer,-1,cáncer
capable,1,capable
captivated,3,captivated
care,2,cuidado
carefree,1,carefree
careful,2,careful
carefully,2,con cuidado
careless,-2,careless
cares,2,cares
cashing in,-2,cobrar
casualty,-2,víctima
catastrophe,-3,catastrophe
catastrophic,-4,catastrophic
cautious,-1,cautious
celebrate,3,celebrate
celebrated,3,celebrated
celebrates,3,celebrates
celebrating,3,celebrating
censor,-2,censor
censored,-2,censored
censors,-2,censores
certain,1,certain
chagrin,-2,disgusto
chagrined,-2,chagrined
challenge,-1,desafío
chance,2,oportunidad
chances,2,chances
chaos,-2,chaos
chaotic,-2,chaotic
charged,-3,charged
charges,-2,charges
charm,3,encanto
charming,3,charming
charmless,-3,charmless
chastise,-3,castigar
chastised,-3,chastised
chastises,-3,chastises
chastising,-3,chastising
cheat,-3,engañar
cheated,-3,cheated
cheater,-3,cheater
cheaters,-3,cheaters
cheats,-3,cheats
cheer,2,cheer
cheered,2,cheered
cheerful,2,cheerful
cheering,2,cheering
cheerless,-2,triste
cheers,2,salud
cheery,3,alegre
cherish,2,apreciar
cherished,2,cherished
cherishes,2,apreciar
cherishing,2,cherishing
chic,2,elegante
childish,-2,infantil
chilling,-1,espeluznante
choke,-2,ahogo
choked,-2,choked
chokes,-2,chokes
choking,-2,choking
clarifies,2,aclarar
clarity,2,claridad
clash,-2,clash
classy,3,de buen tono
clean,2,clean
cleaner,2,cleaner
clear,1,clear
cleared,1,cleared
clearly,1,clearly
clears,1,clears
clever,2,inteligente
clouded,-1,clouded
clueless,-2,clueless
cock,-5,cock
cocksucker,-5,cacajero
cocksuckers,-5,cacatapas
cocky,-2,cocky
coerced,-2,coerced
collapse,-2,collapse
collapsed,-2,collapsed
collapses,-2,collapses
collapsing,-2,colapso
collide,-1,chocar
collides,-1,chocar
colliding,-1,colliding
collision,-2,collision
collisions,-2,collisions
colluding,-3,colluding
combat,-1,combate
combats,-1,combate
comedy,1,comedia
comfort,2,comodidad
comfortable,2,comfortable
comforting,2,comforting
comforts,2,comodidad
commend,2,elogiar
commended,2,commended
commit,1,comprometerse
commitment,2,compromiso
commits,1,compromiso
committed,1,committed
committing,1,committing
compassionate,2,compassionate
compelled,1,compelled
competent,2,competente
competitive,2,competitive
complacent,-2,suficiente
complain,-2,complain
complained,-2,quejado
